Título,Autor,Descripción,Formato,Número de páginas,Fecha de publicación,Calificación promedio,Número de calificaciones,Número de reseñas,URL de la imagen de portada,URL del libro,Categoría
The Memory Thieves,Dhonielle Clayton,"Eager to wield their stapiers for Marvel Combat, Ella, Brigit, and Jason are back for their second year at the Arcanum Training Institute. With Ella’s celebrity growing throughout the Marvellian world after thwarting the Ace of Anarchy’s diabolical plans, it’s proving hard for her to focus on her coursework. But back home in New Orleans the Conjure community isn’t too happy about her return to the skies for another year learning to become a Marveller. As if life wasn’t complicated enough, Ella soon discovers more dangerous secrets about the Conjure architect who built the school.Before she can dig deeper, a mysterious magical illness sweeps through the Institute, and Ella lands at the top of the suspect list. Can Ella and her friends save themselves and the Marvellian world before chaos breaks loose?",Paperback,432 pages,"First published September 26, 2023",4.14,842 ratings,138 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718924684i/210585821.jpg,https://www.goodreads.com/book/show/210585821-the-memory-thieves,Children's
When You Know What You Don't Want,Ann Fleming,"Show your child how powerful they truly are!
In this award-winning children's book, Professor Finelly McTueful guides young readers on a journey of self-discovery and positive thinking. Through engaging rhymes and relatable scenarios, children learn the importance of recognizing their feelings and understanding the power of choice. The Professor teaches them how to transform negative experiences into positive ones, fostering resilience and optimism.
By encouraging kids to focus on what they truly want, this book helps cultivate a mindset that embraces joy and curiosity. It empowers them to choose kindness, seek adventure, and appreciate the good in their lives, no matter the circumstances. Filled with whimsical illustrations and valuable life lessons, this book is an essential tool for helping children navigate their emotions and build a foundation for a positive outlook on life. With Professor McTueful as their guide, children will discover that happiness is within their reach, waiting to be uncovered.",Kindle Edition,42 pages,"Published August 28, 2024",4.67,12 ratings,11 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1722795074i/217172907.jpg,https://www.goodreads.com/book/show/217172907-when-you-know-what-you-don-t-want,Children's
«Kalila y Dimna» y otras fábulas del «Panchatantra»,Ramsay Wood,"El ciclo de fábulas de animales del Panchatantra, compilado en sánscrito hace casi dos mil años, reúne los relatos hindúes más difundidos a lo largo de los siglos por todo el mundo, desde China a Etiopía.

Kalila y Dimna forma parte de él y es sin duda una de las obras más populares de la literatura universal. En Europa circuló, traducida del árabe, a partir del siglo XIII, y su influencia va desde Ramon Llull, Chaucer, Boccacio o Cervantes hasta La Fontaine.

Esta formidable versión de Ramsay Wood no sólo moderniza los antiguos relatos —como antaño hicieron las traducciones medievales—, sino que combina las principales versiones del sánscrito, el persa, el árabe e incluso el inglés antiguo.

Narradas por Wood —y magníficamente ilustradas—, las fábulas del sabio Bidpai recobran los brillantes colores de los tapices hindúes y se nos revelan de nuevo como una obra maestra: el jovial relato de las aventuras de animales nobles a veces, pícaros a menudo, pero siempre espontáneos, nos devuelve la imagen de las pasiones humanas en toda su ambivalencia.",Paperback,512 pages,"First published January 1, 300",4.18,367 ratings,53 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1493829454i/34834360.jpg,https://www.goodreads.com/book/show/34834360-kalila-y-dimna-y-otras-f-bulas-del-panchatantra,Classics
Story Skeleton: The Classics,David Griffin Brown,"In Story Skeleton: The Classics, we unlock the secrets of twenty-one enduring novels—from Pride and Prejudice to The Godfather—revealing the plot points and craft genius that make them masterpieces. Discover the method behind the magic, and learn how to apply these timeless techniques to elevate your own writing and captivate readers for generations.

As Orson Welles said, “The absence of limitations is the enemy of art.”

A novel’s structural elements can be organized strategically, creatively, unusually—but in a satisfying narrative, they’re all there in some form. That form might be surprising when you realize what the author has really done—which often isn’t clear the first or even second time you read a complex novel. But once you crack the code, it’s immensely satisfying.




: A Comparison of “Straight-Shot” Trajectories
: Simple Structure, Multiple Interpretations
: A Masterclass in Internal Conflict
: A Tragic Allegory
: A Prototype of Romance Structure
: Bookended Settings with a Twist




: A Novel that Begins at the Midpoint
: Splitting the Internal and External Conflicts
: An Episodic Structure
: The Overlay of Two Trajectories
: The Hero’s Journey with a Delayed Inciting Incident




: Five Arcs, Two Genres
: A Sidelined Narrative Goal
: One Journey, Several Conflicting Goals
: Where’s the Plot?
: When the Antagonist Drives the Action
: An Event Structure
: So Many Storylines
: Framing with Unreliable Narrators
: A Series of Venn Diagrams",Kindle Edition,286 pages,"Expected publication February 1, 2025",0.00,0 ratings,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1737092169i/223710985.jpg,https://www.goodreads.com/book/show/223710985-story-skeleton,Classics
Northanger Abbey,Jane Austen,"A wonderfully entertaining coming-of-age story, Northanger Abbey is often referred to as Jane Austen's ""Gothic parody."" Decrepit castles, locked rooms, mysterious chests, cryptic notes, and tyrannical fathers give the story an uncanny air, but one with a decidedly satirical twist.

The story's unlikely heroine is Catherine Morland, a remarkably innocent seventeen-year-old woman from a country parsonage. While spending a few weeks in Bath with a family friend, Catherine meets and falls in love with Henry Tilney, who invites her to visit his family estate, Northanger Abbey. Once there, Catherine, a great reader of Gothic thrillers, lets the shadowy atmosphere of the old mansion fill her mind with terrible suspicions. What is the mystery surrounding the death of Henry's mother? Is the family concealing a terrible secret within the elegant rooms of the Abbey? Can she trust Henry, or is he part of an evil conspiracy? Catherine finds dreadful portents in the most prosaic events, until Henry persuades her to see the peril in confusing life with art.

Executed with high-spirited gusto, is a lighthearted, yet unsentimental commentary on love and marriage.",Paperback,272 pages,"First published December 20, 1817",3.85,"424,183 ratings","23,322 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709222151i/209311311.jpg,https://www.goodreads.com/book/show/209311311-northanger-abbey,Classics
Wicked: The Graphic Novel Part I: An Enchanting Graphic Novelization of the Inspiration for the Major Motion Picture,Gregory Maguire,"Experience the magic of Oz as you’ve never seen it before with this brand-new graphic novel adaptation of Gregory Maguire’s masterpiece Wicked, the inspiration for the Broadway show and major motion picture—the first in a two-part series featuring gorgeous full-color illustrations by Scott Hampton.

Like Dorothy when she crash-landed all those years ago, prepare to be swept into a new and colorful world in this first-ever graphic novel adaptation of . While the long-running Broadway musical and major motion picture take inspiration from this iconic novel, this is Oz as Gregory Maguire wrote it—a fantastical story with dark edges that explores morality and ambition, love and friendship, and discovering one’s inner power.

Elphaba was born with emerald-green skin—no easy burden in a land as mean and poor as Oz, where superstition and magic are not strong enough to explain or overcome the natural disasters of flood and famine. Still, Elphaba is smart, and by the time she enters Shiz University, she becomes a member of a charmed circle of Oz’s most promising young citizens.

But Elphaba’s Oz is no utopia. The Wizard’s secret police are everywhere. Animals—those creatures with voices, souls, and minds—are threatened with exile. Young Elphaba, green and wild and misunderstood, is determined to protect the Animals—even if it means combating the mysterious Wizard, even if it means risking her single chance at romance. Ever wiser in guilt and sorrow, she can find herself grateful when the world declares her a witch. And she can even make herself glad for that young girl from Kansas.",Paperback,176 pages,"Expected publication March 11, 2025",0.00,0 ratings,1 review,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1729263467i/215583535.jpg,https://www.goodreads.com/book/show/215583535-wicked,Comics
Crumb: A Cartoonist's Life,Dan Nadel,"The first biography of Robert Crumb—one of the most profound and influential artists of the 20th century—whose iconic, radically frank and meticulously rendered cartoons and comics inspired generations of readers and cartoonists, from Art Spiegelman to Alison Bechdel.

Robert Crumb is often credited with single-handedly transforming the comics medium into a place for adult expression, in the process pioneering the underground comic book industry, and transforming the vernacular language of 20th-century America into an instantly recognizable and popular aesthetic, as iconic as Walt Disney or Charles Schulz. Now, for the first time, Dan Nadel, a curator and writer specializing in comics and art, shares how this complicated artist survived childhood abuse, fame in his twenties, more fame, and came out the other side intact.

More than just a biography of an iconic cartoonist, is the story of a richly complex life at the forefront of both the underground and popular cultures of post-war America. Including forty-five stunning black-and-white images throughout and a sixteen-page color insert featuring images both iconic and obscure, spans the pressures of 1950s suburban America and Crumb’s highly dysfunctional early family life; the history of comics and graphic satire; 20th century popular music; the world of the counterculture; the birth of underground comic books in 1960s San Francisco with Crumb’s ; the economic challenges and dissolution of the hippie dream; and the path Robert Crumb blazed through it all.

Written with Crumb’s cooperation, this fascinating, rollicking book takes in seven decades of Crumb’s iconic works, including , , and his final book-length comic of ; capturing, in the process, the essence of an extraordinary artist and his times.",Hardcover,480 pages,"Expected publication April 15, 2025",4.17,6 ratings,1 review,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1719020966i/214152388.jpg,https://www.goodreads.com/book/show/214152388-crumb,Comics
I'll Have What She's Having,Chelsea Handler,"In hilarious and tender essays, #1 New York Times bestselling author Chelsea Handler shares her unforgettable story of becoming the woman she always wanted to be.

There’s a woman I want to become, Chelsea Handler thought as a child. She’ll be strong and confident. She’ll light up a room and spread that light to make others feel better. She’ll make a living being herself. She’ll be a survivor.

At ten years old, Chelsea opened a lemonade stand and realized she’d make more money if the drinks were spiked. So she added vodka to her recipe and used her earnings to upgrade herself to first-class on a family vacation—leaving her parents and siblings in coach. She moved to Los Angeles and got fired from her temp job when she admitted she didn’t know how to transfer calls. She’s played pickleball with the scions of an American dynasty. She’s sexted a governor. She shared psychedelics with strangers in Spain. When she accidentally ended up at dinner with Woody Allen, she was not going to leave the table without asking him a very personal pointed question. She went on national television and talked about having threesomes. She's never been one to hold back.

But this life of adventure and absurdity is only part of her story. Chelsea knows what it is to truly show up for her family—canine and human, biological and chosen. She’s discovered how to spend time with herself, how to meditate, how to be open to love, and how to end a relationship with dignity. She is a sister to the many women who rely on her.

Surprisingly vulnerable and always outrageous, Chelsea Handler captures the antic-filled, exhilarating, and joyful life she’s built—a life that makes the rest of us think, I’ll have what she’s having.",Hardcover,320 pages,"Expected publication February 25, 2025",4.21,75 ratings,46 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731988940i/217927684.jpg,https://www.goodreads.com/book/show/217927684-i-ll-have-what-she-s-having,Comics
"Breaking Up with Dairy: 100 Indulgent Plant-based Recipes for Cheese (and Butter, Cream, and Milk) Lovers Everywhere",Bailey Ruskus,"Make the switch to a dairy-free lifestyle—or simply consider a dietary change—without sacrificing flavor with this cookbook full of delicious recipes by Chef Bai.

Cheese can be the breaking point that keeps many from breaking up from dairy—because let's face it, dairy is delicious. In Breaking Up With Dairy, Chef Bai shares over one hundred unbelievable plant-based dairy recipes.

Includes recipes that mimic beloved cheeses like Gorgonzola, Young Gruyere, Pepper-Jack, Parmesan, and more, which you can use in the following recipes:

-Baked Truffle Mac
-New York Style Spelt Bagels with Roasted Garlic Cream Cheese
-Breakfast Pizza Pockets with Hollandaise
-Mini Quiches
-Air-Fried Ricotta Balls with Ratatouille Sauce
-And so much more!

Breaking up with dairy doesn't have to feel like a loss with these mouth-watering substitute dishes!",Hardcover,320 pages,"Expected publication February 11, 2025",5.00,1 rating,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1735679921i/214175180.jpg,https://www.goodreads.com/book/show/214175180-breaking-up-with-dairy,Cookbooks
Baby Leads the Way: An Evidence-Based Guide to Introducing Solid Foods,Julie Laux,"The expert advice and evidence-based information in Baby Leads the Way will help families succeed with baby-led feeding, right from the start. Written by the team of experts behind the popular 101 before one Instagram account, this guide offers a relatable explanation of why baby-led feeding benefits the whole family and how to safely introduce first foods. The 101 before one approach emphasizes cooking nutritious family-style meals so babies are eating a modified version of what everyone else is eating from day one. Babies will learn to feed themselves in a safe, low-pressure environment and establish a lasting, healthy relationship with food. From information on starter foods and choking hazards, to how to introduce allergens and prevent nutritional deficiencies, Baby Leads the Way is a one-stop resource for parents interested in practical tips supported by research. It also includes answers to the most common questions the 101 before one team receives, troubleshooting tips for when things don't go to plan, and helpful guidance on when to reach out to your pediatrician.",Paperback,225 pages,"Expected publication March 25, 2025",0.00,0 ratings,0 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1719453059i/215358945.jpg,https://www.goodreads.com/book/show/215358945-baby-leads-the-way,Cookbooks
"The Vegetarian Reset: 75 Low-Carb, Plant-Forward Recipes from Around the World",Vasudha Viswanath,"“Perfect for flavor-first foodies like me, who are on a mission to add more plant-forward dishes to our tables!"" – Michelle Tam, New York Times bestselling author and creator of Nom Nom Paleo

The Vegetarian Reset celebrates a lifestyle where a foodie sensibility intersects with healthy eating. It solves the never-ending dilemma that all plant-based eaters Is life fun when you eat salad every day, or is it worth it to let your health take a backseat to enjoy a big bowl of rice or pasta without enough protein?

In her debut cookbook, Vasudha Viswanath takes readers on a little trip around the world, drawing inspiration from an array of traditional and global cuisines that are rich in whole foods like vegetables, legumes, and healthy fats. Seasonal vibrant recipes are moderately low-carb and put vegetables front and center , while also being gluten-free ! Learn to bake healthy bread from scratch, make paella out of cauliflower rice, transform paneer into gnocchi, and sweeten brownies with dates! Whether you already follow a low-carb lifestyle or simply want to add more healthy dishes into your rotation, The Vegetarian Reset will delight and inspire vegetarians, vegans, and omnivores alike to eat well, fully nourish, and reset your body.

MORE PRAISE FOR THE VEGETARIAN

“A genius idea that is beautifully executed by Vasudha…Bring on the Curried Lentil Mushroom Bolognese, Masala Egg Bites, and Avocado Lime Smoothie, please!” – Archana Mundhe, bestselling author and founder, Ministry of Curry

“[A] genuine work of art! The photos are breathtaking, and the recipes are unique, nourishing, and easy to follow.” – Shana Hussin, author of Fast To Heal and Registered Dietitian Nutritionist

“[V]ibrant and diverse recipes will inspire you to change the way you eat and focus on healthy lower carb options."" – Dhru Purohit, host of the Dhru Purohit Podcast and serial entrepreneur",Hardcover,192 pages,"Published January 17, 2023",4.22,74 ratings,40 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661615286i/61312075.jpg,https://www.goodreads.com/book/show/61312075-the-vegetarian-reset,Cookbooks
Gate to Kagoshima,Poppy Kuroki,"In this exciting historical romantasy in the spirit of The Hurricane Wars and The Time Traveler’s Wife—Outlander set in Japan—a young Scottish woman is magically transported to the last Samurai era, where she encounters ghosts from the past, her own Japanese ancestry, and a love that transcends time.

While in Japan researching her family’s history, a vicious typhoon sends Isla Mackenzie 128 years back in time, to the dawn of the Satsuma Rebellion. There she meets her ancestors, and a charismatic samurai, Kei, with whom she unexpectedly finds romance.

But, unlike her Beloved, Isla knows about the looming Samurai rebellion—and Kai’s fate. Should she attempt to change history or somehow make her way back to the life she’d had before?

Compulsively readable, historically grounded, and irresistibly immersive, is an unforgettable tale of duty, and of timeless love.",Paperback,320 pages,"Expected publication January 28, 2025",3.66,349 ratings,92 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1721685925i/213974048.jpg,https://www.goodreads.com/book/show/213974048-gate-to-kagoshima,Fantasy
Taken to the Stars,J.N. Chaney,"Abducted by aliens. Frozen for decades.Charlie Travers figures his life can’t get much worse. He lives over a pizza restaurant, he’s lost his girlfriend, and has no prospects for a career.Then he’s abducted by an alien robot and taken across the galaxy. When he wakes up, he finds himself stranded thousands of light-years away and about to be killed by space pirates.Charlie’s only hope of getting through this is learning to work with his fellow a green-skinned warrior woman, a feathered con man who is just as likely to steal their starship as he is to save them, and a cyborg insectoid pilot who could rip a man apart with ease… if he wasn’t a strict pacifist.To make matters worse, they were abducted for a reason--one that aims to change the course of the Galaxy forever.",Kindle Edition,370 pages,"Published September 10, 2023",4.40,"2,384 ratings",92 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1694318742i/196943014.jpg,https://www.goodreads.com/book/show/196943014-taken-to-the-stars,Fantasy
